Polyline,X,Y
1,902,976
2,921,976
3,819,860
4,902,976
1,921,976
2,819,860
3,909,851
4,921,976
1,850,976
2,863,976
3,771,865
4,850,976
1,863,976
2,771,865
3,819,860
4,863,976
1,863,976
2,819,860
3,902,976
4,863,976
1,833,976
2,837,976
3,754,866
4,833,976
1,837,976
2,754,866
3,771,865
4,837,976
1,837,976
2,771,865
3,850,976
4,837,976
1,825,976
2,827,976
3,747,867
4,825,976
1,827,976
2,747,867
3,754,866
4,827,976
1,827,976
2,754,866
3,833,976
4,827,976
1,817,976
2,819,976
3,739,867
4,817,976
1,819,976
2,739,867
3,747,867
4,819,976
1,819,976
2,747,867
3,825,976
4,819,976
1,808,976
2,811,976
3,731,868
4,808,976
1,811,976
2,731,868
3,739,867
4,811,976
1,811,976
2,739,867
3,817,976
4,811,976
1,799,976
2,802,976
3,723,869
4,799,976
1,802,976
2,723,869
3,731,868
4,802,976
1,802,976
2,731,868
3,808,976
4,802,976
1,790,976
2,793,976
3,714,870
4,790,976
1,793,976
2,714,870
3,723,869
4,793,976
1,793,976
2,723,869
3,799,976
4,793,976
1,782,976
2,785,976
3,706,870
4,782,976
1,785,976
2,706,870
3,714,870
4,785,976
1,785,976
2,714,870
3,790,976
4,785,976
1,774,976
2,777,976
3,699,871
4,774,976
1,777,976
2,699,871
3,706,870
4,777,976
1,777,976
2,706,870
3,782,976
4,777,976
1,766,976
2,769,976
3,691,872
4,766,976
1,769,976
2,691,872
3,699,871
4,769,976
1,769,976
2,699,871
3,774,976
4,769,976
1,758,976
2,762,976
3,685,872
4,758,976
1,762,976
2,685,872
3,691,872
4,762,976
1,762,976
2,691,872
3,766,976
4,762,976
1,752,976
2,755,976
3,679,873
4,752,976
1,755,976
2,679,873
3,685,872
4,755,976
1,755,976
2,685,872
3,758,976
4,755,976
1,746,976
2,749,976
3,673,873
4,746,976
1,749,976
2,673,873
3,679,873
4,749,976
1,749,976
2,679,873
3,752,976
4,749,976
1,730,976
2,739,976
3,658,875
4,730,976
1,739,976
2,658,875
3,673,873
4,739,976
1,739,976
2,673,873
3,746,976
4,739,976
1,703,976
2,717,976
3,632,877
4,703,976
1,717,976
2,632,877
3,658,875
4,717,976
1,717,976
2,658,875
3,730,976
4,717,976
1,667,976
2,687,976
3,599,880
4,667,976
1,687,976
2,599,880
3,632,877
4,687,976
1,687,976
2,632,877
3,703,976
4,687,976
1,599,880
2,599,880
3,667,976
4,599,880
1,599,880
2,667,976
3,667,976
4,599,880
1,665,976
2,666,976
3,597,880
4,665,976
1,666,976
2,597,880
3,599,880
4,666,976
1,666,976
2,599,880
3,667,976
4,666,976
1,663,976
2,664,976
3,595,880
4,663,976
1,664,976
2,595,880
3,597,880
4,664,976
1,664,976
2,597,880
3,665,976
4,664,976
1,659,976
2,660,976
3,591,881
4,659,976
1,660,976
2,591,881
3,595,880
4,660,976
1,660,976
2,595,880
3,663,976
4,660,976
1,654,976
2,656,976
3,586,881
4,654,976
1,656,976
2,586,881
3,591,881
4,656,976
1,656,976
2,591,881
3,659,976
4,656,976
1,648,976
2,651,976
3,581,882
4,648,976
1,651,976
2,581,882
3,586,881
4,651,976
1,651,976
2,586,881
3,654,976
4,651,976
1,642,976
2,644,976
3,575,882
4,642,976
1,644,976
2,575,882
3,581,882
4,644,976
1,644,976
2,581,882
3,648,976
4,644,976
1,634,976
2,637,976
3,568,883
4,634,976
1,637,976
2,568,883
3,575,882
4,637,976
1,637,976
2,575,882
3,642,976
4,637,976
1,556,976
2,588,976
3,494,889
4,556,976
1,588,976
2,494,889
3,568,883
4,588,976
1,588,976
2,568,883
3,634,976
4,588,976
1,521,976
2,536,976
3,461,892
4,521,976
1,536,976
2,461,892
3,494,889
4,536,976
1,536,976
2,494,889
3,556,976
4,536,976
1,410,976
2,471,976
3,356,900
4,410,976
1,471,976
2,356,900
3,461,892
4,471,976
1,471,976
2,461,892
3,521,976
4,471,976
1,384,976
2,399,976
3,331,902
4,384,976
1,399,976
2,331,902
3,356,900
4,399,976
1,399,976
2,356,900
3,410,976
4,399,976
1,299,976
2,351,976
3,250,908
4,299,976
1,351,976
2,250,908
3,331,902
4,351,976
1,351,976
2,331,902
3,384,976
4,351,976
1,264,976
2,286,976
3,228,926
4,264,976
1,286,976
2,228,926
3,250,908
4,286,976
1,228,926
2,250,908
3,228,910
4,228,926
1,286,976
2,250,908
3,299,976
4,286,976
1,228,976
2,228,935
3,247,976
4,228,976
1,247,976
2,264,976
3,228,935
4,247,976
1,264,976
2,228,935
3,228,926
4,264,976
1,878,254
2,880,275
3,866,255
4,878,254
1,880,275
2,866,255
3,880,275
1,866,255
2,738,268
3,866,255
1,738,268
1,738,268
2,738,268
1,597,281
1,597,281
2,599,302
1,597,281
2,599,302
3,585,282
4,597,281
1,599,302
2,585,282
3,471,313
4,599,302
1,585,282
2,471,313
3,457,293
4,585,282
1,471,313
2,457,293
3,458,314
4,471,313
1,457,293
2,458,314
3,444,294
4,457,293
1,458,314
2,444,294
3,331,325
4,458,314
1,444,294
2,331,325
3,316,304
4,444,294
1,331,325
2,316,304
3,318,326
4,331,325
1,316,304
2,318,326
3,303,305
4,316,304
1,228,311
2,303,305
3,228,325
4,228,311
1,303,305
2,228,325
3,318,326
4,303,305
1,228,325
2,318,326
3,228,333
4,228,325
1,880,275
2,884,312
3,859,277
4,880,275
1,884,312
2,859,277
3,884,312
1,859,277
2,859,277
1,625,338
1,625,338
2,599,302
1,625,338
2,599,302
3,603,340
4,625,338
1,599,302
2,603,340
3,577,304
4,599,302
1,603,340
2,577,304
3,484,350
4,603,340
1,577,304
2,484,350
3,458,314
4,577,304
1,484,350
2,458,314
3,462,352
4,484,350
1,458,314
2,462,352
3,436,316
4,458,314
1,462,352
2,436,316
3,343,361
4,462,352
1,436,316
2,343,361
3,318,326
4,436,316
1,343,361
2,318,326
3,321,363
4,343,361
1,318,326
2,321,363
3,295,328
4,318,326
1,228,333
2,295,328
3,228,360
4,228,333
1,295,328
2,228,360
3,321,363
4,295,328
1,228,360
2,321,363
3,228,370
4,228,360
1,884,312
2,888,350
3,863,315
4,884,312
1,888,350
2,863,315
3,769,362
4,888,350
1,863,315
2,769,362
3,863,315
1,769,362
2,747,364
3,769,362
1,747,364
1,747,364
2,628,375
3,747,364
1,628,375
2,603,340
1,628,375
2,603,340
3,606,377
4,628,375
1,603,340
2,606,377
3,581,342
4,603,340
1,606,377
2,581,342
3,487,388
4,606,377
1,581,342
2,487,388
3,462,352
4,581,342
1,487,388
2,462,352
3,465,390
4,487,388
1,462,352
2,465,390
3,439,354
4,462,352
1,465,390
2,439,354
3,346,399
4,465,390
1,439,354
2,346,399
3,321,363
4,439,354
1,346,399
2,321,363
3,324,401
4,346,399
1,321,363
2,324,401
3,298,365
4,321,363
1,228,370
2,298,365
3,228,399
4,228,370
1,298,365
2,228,399
3,324,401
4,298,365
1,228,399
2,324,401
3,228,408
4,228,399
1,888,350
2,892,387
3,867,352
4,888,350
1,892,387
2,867,352
3,772,399
4,892,387
1,867,352
2,772,399
3,747,364
4,867,352
1,772,399
2,747,364
3,751,401
4,772,399
1,747,364
2,751,401
3,726,366
4,747,364
1,751,401
2,726,366
3,631,413
4,751,401
1,726,366
2,631,413
3,606,377
4,726,366
1,631,413
2,606,377
3,609,415
4,631,413
1,606,377
2,609,415
3,584,379
4,606,377
1,609,415
2,584,379
3,490,425
4,609,415
1,584,379
2,490,425
3,465,390
4,584,379
1,490,425
2,465,390
3,468,427
4,490,425
1,465,390
2,468,427
3,442,391
4,465,390
1,468,427
2,442,391
3,349,437
4,468,427
1,442,391
2,349,437
3,324,401
4,442,391
1,349,437
2,324,401
3,326,438
4,349,437
1,324,401
2,326,438
